year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2015,"Public relations specialists","273031","Computer and Information Sciences and Support Services","11",95067.4,28004.3,551,384.879,0.149386
2015,"Counter & rental clerks","412021","Computer and Information Sciences and Support Services","11",19626.7,2992.02,534,454.506,1.11375
2015,"Postal service clerks","435051","Computer and Information Sciences and Support Services","11",43117.6,10075.9,519,403.367,0.726388
2015,"Chemists & materials scientists","192030","Computer and Information Sciences and Support Services","11",83778.2,18612.1,516,425.396,0.175099
2015,"Library assistants, clerical","434121","Computer and Information Sciences and Support Services","11",22061.1,5291.31,515,421.768,0.373214
2015,"Directors, religious activities & education","212021","Computer and Information Sciences and Support Services","11",96329.5,60652.4,483,432.982,0.274428
2015,"Emergency medical technicians & paramedics","292041","Computer and Information Sciences and Support Services","11",48448.4,14815.7,479,329.733,0.334044
2015,"Physical therapists","291123","Computer and Information Sciences and Support Services","11",59337.6,14632.2,472,343.292,0.0604215
2015,"Cost estimators","131051","Computer and Information Sciences and Support Services","11",62691.0,18357.7,456,410.632,0.275523
2015,"Weighers, measurers, checkers, & samplers, recordkeeping","435111","Computer and Information Sciences and Support Services","11",29490.5,12373.9,454,440.923,0.991108
2015,"Farmers, ranchers, & other agricultural managers","119013","Computer and Information Sciences and Support Services","11",69146.5,29271.1,439,317.414,0.166612
2015,"Machinists","514041","Computer and Information Sciences and Support Services","11",55090.1,9546.9,437,330.969,0.82749
2015,"Environmental scientists & geoscientists","192040","Computer and Information Sciences and Support Services","11",52141.7,13303.3,422,337.623,0.168505
2015,"Miscellaneous social scientists, including survey researchers & sociologists","1930XX","Computer and Information Sciences and Support Services","11",82086.7,16200.1,413,306.687,0.374291
2015,"Correspondence clerks & order clerks","434XXX","Computer and Information Sciences and Support Services","11",49457.6,26356.5,397,317.119,0.49089
2015,"Switchboard operators, including answering service","432011","Computer and Information Sciences and Support Services","11",24562.0,16465.2,339,296.318,2.82257
2015,"Military enlisted tactical operations & air/weapons specialists & crew members","553010","Computer and Information Sciences and Support Services","11",59070.0,15836.4,306,273.333,0.421437
